"ברוך, אליהו",קביעות במועדונים,קומדי בר
"ברוכים, בני",פתיחת קופות,קומדי בר
"ברזילי, אורן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"ברזילי, ענת",פתיחת קופות,
"ברטפלד, טליה",הופעות/כתיבה בטלוויזיה,
"בריג, אייל",קביעות במועדונים,"ערב גסויות, סטנדאפ פקטורי"
"ברכה, דורון",במות פתוחות,המיקרופון
"ברכר, מוטי",פתיחת קופות,
"ברלד, ירון",כוכבות,קומדי בר
"ברנע לשם, לילך",הופעות/כתיבה בטלוויזיה,
"ברסמן, עידן",במות פתוחות,
"ברק, יונתן",פתיחת קופות,קאמל קומדי קלאב
"ברק, נירו",במות פתוחות,האשכנזים
"ברקאי, עידן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"ג'י, רועי",פתיחת קופות,קאמל קומדי קלאב
"ג'רפי, אביחי",במות פתוחות,
"גבני, יוסי",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי"
"גבע גרומר, מירב",במות פתוחות,
"גבע, מיקי",כוכבות,
"גוטליב, אורי",סטנדאפ לאחר כוכבות,
"גולדנר, יהודה",במות פתוחות,"דעות על דברים, ערב הסטנדאפ האינטימי"
"גולדשטיין, ניקי",פתיחת קופות,
"גולן, דודו",במות פתוחות,
"גולפור, דניאל",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר"
"גונן, ערן",במות פתוחות,
"גורי דה לימא, דניאל",במות פתוחות,"ערב הסטנדאפ החמים, הסטנדאפ של הגיקים"
"גורי, הגר",במות פתוחות,
"גורליק, דן",במות פתוחות,
"גינזבורג, חגית",קביעות במועדונים,"נשי ותהני, קאמל קומדי קלאב"
"גינס, תכלת",במות פתוחות,
"גיספן, אריאל",במות פתוחות,
"גל, איתי",במות פתוחות,
"גל, אלירן",במות פתוחות,
"גל, אסי",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, רוסט באטל"
"גל, דדי",קביעות במועדונים,קומדי בר
"גל, קרולין",במות פתוחות,
"גליקמן, אמיר",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"גלפרין, אלי",פתיחת קופות,
"גנני, אילן",הופעות/כתיבה בטלוויזיה,
"גרובר, יונתן",פתיחת קופות,
"גרוזניק כתב, איילת",פתיחת קופות,
"גרוס, מתן",במות פתוחות,
"גרופר, יונתן",הופעות/כתיבה בטלוויזיה,
"גרייניק, אבי",פתיחת קופות,
"גרין, אלון",במות פתוחות,
"גרינברג, יאיר",פתיחת קופות,
"גרינוולד, אוריה",במות פתוחות,
"גרינפלד, אור",במות פתוחות,
"גרינשטיין, אופיר",במות פתוחות,
"גרינשפן, רני",אנגלית,
"גרנות, ארז",במות פתוחות,
