"שוורץ, ליטל",כוכבות,
"שוורצמן, ניר",פתיחת קופות,
"שוחמי, שי",קביעות במועדונים,"ערב גסויות, סטנדאפ פקטורי"
"שונברגר, עידן",במות פתוחות,
"שוסטר-אליאסי, נועם",הופעות/כתיבה בטלוויזיה,
"שור, אלמוג",פתיחת קופות,קאמל קומדי קלאב
"שחר, איתן",במות פתוחות,
"שטיינגרט, לירון",פתיחת קופות,
"שטראוס, ארז",במות פתוחות,
"שטרית, אלדד",קביעות במועדונים,קומדי בר
"שטרן, רמי",הופעות/כתיבה בטלוויזיה,
"שייד, ניית'ן",אנגלית,דנסינג קאמל
"שילה, רועי",קביעות במועדונים,"קאמל קומדי קלאב, קומדי בר"
"שינדר, לאון",במות פתוחות,
"שיק בלום, ירמי",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר"
"שכטר, עפר",כוכבות,קאמל קומדי קלאב
"שליין, ליאור",סטנדאפ לאחר כוכבות,
שלישיית מה קשור,כוכבות,
"שלם, ארז",כוכבות,
"שם טוב, ליעוז",פתיחת קופות,קומדי בר
"שם טוב, מיכל",קביעות במועדונים,קומדי בר
"שמואל, לישי",הופעות/כתיבה בטלוויזיה,צוות מנחוס
"שמיר, שרה",פתיחת קופות,
"שני, בן",במות פתוחות,
"שפירו, מיטל",הופעות/כתיבה בטלוויזיה,"סטנדאפ ואלרגיות, ערב הסטנדאפ המיותר"
"שפר, טל",הופעות/כתיבה בטלוויזיה,צ' סופית
"שרון, אדם",פתיחת קופות,קומדי בר
"שרון, מתן",במות פתוחות,ערב הסטנדאפ המיותר
"שרון, תומר",פתיחת קופות,
"שריקי, קובי",במות פתוחות,"סטנדאפ הפילוסופים, ערב הסטנדאפ האינטימי"
"ששון, עדי",במות פתוחות,ערב הסטנדאפ המיותר
"ששון, רוני",פתיחת קופות,קומדי בר
"תגר, נלי",סטנדאפ לאחר כוכבות,
"תואתי, ז'ואקים",במות פתוחות,
