name,status,stage,sex,national,att1,gen,religion
"בן שבת, עופר",הופעות/כתיבה בטלוויזיה,עופר ומאר,ז,,,,
"בן שחר, זאב",פתיחת קופות,,ז,,,,
"בן שמואל, אביב",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בנאי, אורנה",כוכבות,,נ,,,,
"בנדק, דביר",סטנדאפ לאחר כוכבות,,ז,,,,
"בצר, נעם",במות פתוחות,,נ,,,,
"בק פוגל, קרן",פתיחת קופות,,נ,,,,
"בקשי, אורן",הופעות/כתיבה בטלוויזיה,צוות מנחוס,ז,,,,
"בר ישי, אבישי",במות פתוחות,,ז,,,,
"בר נתן, רועי",כוכבות,,ז,,,,
"בר, עמרי",במות פתוחות,ערב הסטנדאפ המאוחד,ז,,,,
"בר, תמיר",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בראבא, שלמה",סטנדאפ לאחר כוכבות,,ז,,,,
"ברדוגו, עדן",במות פתוחות,,נ,,,,
"ברו, שמואל",פתיחת קופות,,ז,,,,
"ברויר, אורי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ברוך, אליהו",קביעות במועדונים,קומדי בר,ז,,,,
"ברוכים, בני",פתיחת קופות,קומדי בר,ז,,,,
"ברזילי, אורן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"ברזילי, ענת",פתיחת קופות,,נ,,,,
"ברטפלד, טליה",הופעות/כתיבה בטלוויזיה,,נ,,,,
"בריג, אייל",קביעות במועדונים,"ערב גסויות, סטנדאפ פקטורי",ז,,,,
"ברכה, דורון",במות פתוחות,המיקרופון,ז,,,,
"ברכר, מוטי",פתיחת קופות,,ז,,,,
"ברלד, ירון",כוכבות,קומדי בר,ז,,,,
"ברנע לשם, לילך",הופעות/כתיבה בטלוויזיה,,נ,,,,
"ברסמן, עידן",במות פתוחות,,ז,,,,
"ברק, יונתן",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ברק, נירו",במות פתוחות,האשכנזים,ז,,,,
"ברקאי, עידן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"ג'י, רועי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ג'רפי, אביחי",במות פתוחות,,ז,,,,
"גבני, יוסי",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי",ז,,,,
"גבע גרומר, מירב",במות פתוחות,,נ,,,,
"גבע, מיקי",כוכבות,,ז,,,,
"גוטליב, אורי",סטנדאפ לאחר כוכבות,,ז,,,,
"גולדנר, יהודה",במות פתוחות,"דעות על דברים, ערב הסטנדאפ האינטימי",ז,,,,
"גולדשטיין, ניקי",פתיחת קופות,,ז,,,,
"גולן, דודו",במות פתוחות,,ז,,,,
"גולפור, דניאל",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר",ז,,,,
"גונן, ערן",במות פתוחות,,ז,,,,
"גורי דה לימא, דניאל",במות פתוחות,"ערב הסטנדאפ החמים, הסטנדאפ של הגיקים",ז,,,,
"גורי, הגר",במות פתוחות,,נ,,,,
"גורליק, דן",במות פתוחות,,ז,,,,
"גינזבורג, חגית",קביעות במועדונים,"נשי ותהני, קאמל קומדי קלאב",נ,,,,
"גינס, תכלת",במות פתוחות,,נ,,,,
"גיספן, אריאל",במות פתוחות,,ז,,,,
"גל, איתי",במות פתוחות,,ז,,,,
"גל, אלירן",במות פתוחות,,ז,,,,
"גל, אסי",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, רוסט באטל",ז,,,,
"גל, דדי",קביעות במועדונים,קומדי בר,ז,,,,
"גל, קרולין",במות פתוחות,,נ,,,,
"גליקמן, אמיר",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"גלפרין, אלי",פתיחת קופות,,ז,,,,
"גנני, אילן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"גרובר, יונתן",פתיחת קופות,,ז,,,,
"גרוזניק כתב, איילת",פתיחת קופות,,נ,,,,
"גרוס, מתן",במות פתוחות,,ז,,,,
"גרופר, יונתן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"גרייניק, אבי",פתיחת קופות,,ז,,,,
"גרין, אלון",במות פתוחות,,ז,,,,
"גרינברג, יאיר",פתיחת קופות,,ז,,,,
"גרינוולד, אוריה",במות פתוחות,,ז,,,,
"גרינפלד, אור",במות פתוחות,,ז,,,,
"גרינשטיין, אופיר",במות פתוחות,,ז,,,,
"גרינשפן, רני",אנגלית,,ז,,,,
"גרנות, ארז",במות פתוחות,,ז,,,,
"ד'אנג'לי, נגה",פתיחת קופות,נשי ותהני,נ,,,,
"דאום, חנוך",כוכבות,,ז,,,,
"דביר, סופיה",במות פתוחות,,נ,,,,
"דברת, עדי",במות פתוחות,,נ,,,,
"דגן, מיה",במות פתוחות,ערב הסטנדאפ של הלייף,נ,,,,
"דגן, רמי",במות פתוחות,,ז,,,,
"דהאן, לימור",במות פתוחות,,נ,,,,
"דהן, אופיר",פתיחת קופות,,ז,,,,
דובדבני וקובץ',פתיחת קופות,קומדי בר,ז,,צמד,,
"דוד, אלעד",קביעות במועדונים,סטנדאפ פקטורי,ז,,,,
"דוד, שוקי",פתיחת קופות,,ז,,,,
"דוידי, יורן",הופעות/כתיבה בטלוויזיה,"תירסקסואל, ערב הסטנדאפ המיותר",ז,,,,
"דויטש, יניב",במות פתוחות,,ז,,,,
"דוראני, ויוי",במות פתוחות,,נ,,,,
"דידי, נחום",פתיחת קופות,קומדי בר,ז,,,,
"דיטש, אביטל",במות פתוחות,,נ,,,,
"דרוגר, גסטון",פתיחת קופות,,ז,,,,
"דרורי, אסף",במות פתוחות,,ז,,,,
"דריי, פאלומה",במות פתוחות,,נ,,,,
"הבר, ליאור",במות פתוחות,ליאור מארחת,נ,,,,
"הדר, צביקה",כוכבות,,ז,,,,
"הוד, אדיר",במות פתוחות,,ז,,,,
"הוכמן, גיא",פתיחת קופות,,ז,,,,
"הורוביץ, אמיר",פתיחת קופות,קומדי בר,ז,,,,
"הנגבי, מיכאל",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"הנדלר, נדב",קביעות במועדונים,קומדי בר,ז,,,,
"הר לב, ליאת",סטנדאפ לאחר כוכבות,,נ,,,,
"הראל, גיל",במות פתוחות,,ז,,,,
"הראל, רועי",במות פתוחות,,ז,,,,
"הרוש, מאור",הופעות/כתיבה בטלוויזיה,עופר ומאר,ז,,,,
"הרמל, מירב",פתיחת קופות,בנות עם ביצים,נ,,,,
"הרשקוביץ, יוסף",במות פתוחות,,ז,,,,
"הרשקוביץ, עמית",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"והבה, שלומי",במות פתוחות,,ז,,,,
"והדי, הראל",קביעות במועדונים,סטנדאפ פקטורי,ז,,,,
"וולך, לילך",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"וידר, שי",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"ויטלזון יעקבס, רביטל",פתיחת קופות,,נ,,,,
"ויינברג, דניאל",במות פתוחות,ערב הסטנדאפ החמים,ז,,,,
"ויינברג, עמית",במות פתוחות,,ז,,,,
"ויינר, חגית",במות פתוחות,,נ,,,,
"ויינר, יובל",במות פתוחות,ערב הסטנדאפ של הלייף,ז,,,,
"וייס, רחלה",פתיחת קופות,,נ,,,,
"וייסברג, רותם",הופעות/כתיבה בטלוויזיה,,נ,,,,
"וייסמן, אריאל",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, צ' סופית",ז,,,,
"וייסמן, מתן",במות פתוחות,,ז,,,,
"וילוז'ני, שמואל",כוכבות,,ז,,,,
"וילצ'רסקי, גדי (עידן מור)",פתיחת קופות,"משחקי הקססה, סטנדאפ פקטורי",ז,,,,
"וינר, אמיר",במות פתוחות,,ז,,,,
"ורד קפלן, טלי",פתיחת קופות,,נ,,,,
"ורד, גל דודו",במות פתוחות,,ז,,,,
"ורד, רמי",כוכבות,,ז,,,,
"זאבי, בוב",פתיחת קופות,,ז,,,,
"זאוסמר, חן",במות פתוחות,ערב הסטנדאפ המיותר,נ,,,,
"זבולון, איתי",הופעות/כתיבה בטלוויזיה,,ז,,,,
"זהבי, שיר",במות פתוחות,,נ,,,,
"זוזל, אורן",פתיחת קופות,,ז,,,,
"זולטי, טל",במות פתוחות,,נ,,,,
"זיו, רותם",פתיחת קופות,מחשבות מסלול מחדש,נ,,,,
"זילברמן, אריק",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"זינגר, גיורא",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי",ז,,,,
"זכריה, עידו",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ חסר הביטחון העצמי,ז,,,,
"זלוטקין, נדב",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ חסר הביטחון העצמי",ז,,,,
"זלמן אביטל, שירי",פתיחת קופות,,נ,,,,
"זלצמן, אורי",במות פתוחות,האשכנזים,ז,,,,
"זמיר, אייל",במות פתוחות,,ז,,,,
"זרו, ברקו",פתיחת קופות,קאמל קומדי קלאב,ז,,,,אתיופי
"זרחוביץ', ערן",סטנדאפ לאחר כוכבות,,ז,,,,
"זרעיה, שבי",פתיחת קופות,,ז,,,,
"חביב, אלי",פתיחת קופות,"סטנדאפ ואלרגיות, קאמל קומדי קלאב",ז,,,,
"חביב, חי",במות פתוחות,,ז,,,,
"חדד, שי",במות פתוחות,הקהל מת מצחוק,ז,,,,
"חוגי, גלית",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם,נ,,,,
"חזון, עופר",פתיחת קופות,,ז,,,,
"חזקיה, אורי",כוכבות,סטנדאפ פקטורי,ז,,,,
"חי, סהר",במות פתוחות,"ערב הסטנדאפ החזק מאוד, ערב הסטנדאפ האינטימי",ז,,,,
"חיבה, פלג",במות פתוחות,,ז,,,,
"חיו, אבי",קביעות במועדונים,קומדי בר,ז,,,,
"חיו, יפית",במות פתוחות,,נ,,,,
"חלימי, אביתר",הופעות/כתיבה בטלוויזיה,"צ' סופית, ערב הסטנדאפ המיותר",ז,,,,
"חמו, יעקב",הופעות/כתיבה בטלוויזיה,,ז,,,,
"חממי, אורי",במות פתוחות,,ז,,,,
"חן, דניאל",פתיחת קופות,"הנרקיסיסטים, סטנדאפ פקטורי",ז,,,,
"חן, מור",פתיחת קופות,,נ,,,,
"חנוכה, ענבל",קביעות במועדונים,"אסיפת הורים, סטנדאפ פקטורי",נ,,,,
"חנניה, עמרי",במות פתוחות,,ז,,,,
"חסון, שחר",כוכבות,"במה פתוחה באנגלית 3 יחידות, קומדי בר",ז,,,,
"חפץ, יניב",במות פתוחות,,ז,,,,
"חקלאי, יובל",קביעות במועדונים,קאמל קומדי קלאב,ז,,,,
"חרקובר, דני",במות פתוחות,,ז,,,,
"חשאי, עמית",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"טבריה, רונן",במות פתוחות,,ז,,,,
"טובים, אמירם",פתיחת קופות,קומדי בר,ז,,,,
"טולדנו, מיה",פתיחת קופות,,נ,,,,
"טייכנר, דרור",הופעות/כתיבה בטלוויזיה,צמד שיניים,ז,,,,
"טירנגל, טל",הופעות/כתיבה בטלוויזיה,"תירסקסואל, ערב הסטנדאפ המיותר",ז,,,,
"טלניר, אורי",במות פתוחות,,ז,,,,
"טרבלוס, יוסי",פתיחת קופות,קומדי בר,ז,,,,
"יאדגר, אורן",פתיחת קופות,,ז,,,,
"ידעי, גל",במות פתוחות,,ז,,,,
"יום טוב, שי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"יוקו, בבר",פתיחת קופות,,ז,,,,
"יעקבי, יאיר",פתיחת קופות,,ז,,,,
"יער, תום",כוכבות,,נ,,,,
"יפת, יוגב",הופעות/כתיבה בטלוויזיה,,ז,,,,
"יצחקי, אסף",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"יצפאן, אלי",כוכבות,,ז,,,,
"יקיר, אודליה",פתיחת קופות,,נ,,,,
"ישראל, מרסל (לימור שושן)",פתיחת קופות,,נ,,,,
"ישראלי, אילאיל",פתיחת קופות,מחשבות מסלול מחדש,נ,,,,
"יתח, דור",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי",ז,,,,
"כאהן, דור",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, קאמל קומדי קלאב",ז,,,,
"כגן, אודי",סטנדאפ לאחר כוכבות,,ז,,,,
"כהן, אסי",סטנדאפ לאחר כוכבות,קומדי בר,ז,,,,
"כהן, דני",במות פתוחות,ערב הסטנדאפ האינטימי,ז,,,,
"כהן, דניאל",פתיחת קופות,קומדי בר,ז,,,,
"כהן, יואב",קביעות במועדונים,"האשכנזים, קאמל קומדי קלאב",ז,,,,
"כהן, יעקב",כוכבות,,ז,,,,
"כהן, ליעוז",קביעות במועדונים,קומדי בר,ז,,,,
"כהן, מאור",סטנדאפ לאחר כוכבות,,ז,,,,
"כהן, נאור",במות פתוחות,,ז,,,,
"כהן, עדי",אנגלית,,נ,,,,
"כהן, קארין",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"כהן, שי",במות פתוחות,"ערב הסטנדאפ האינטימי, ערב הסטנדאפ החמים",ז,,,,
"כהנא, סיגל",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב",נ,,,,
"כורם, מור",במות פתוחות,,נ,,,,
"כפרי, רועי",סטנדאפ לאחר כוכבות,,ז,,,,
"כץ, ניר",במות פתוחות,,ז,,,,
"לב, חיה",אנגלית,דנסינג קאמל,נ,,,,
"לב, לאה",כוכבות,קאמל קומדי קלאב,נ,,,,
"לב, עדי",במות פתוחות,,נ,,,,
"לבנטל, יעל",סטנדאפ לאחר כוכבות,,נ,,,,
"לבקוביץ', בן",במות פתוחות,סטנדאפ בגלריה,ז,,,,
