name,status,stage,sex,national,att1,gen,religion
"פטל, אדיר",במות פתוחות,,ז,,,,
"פטריק, מיכאל",במות פתוחות,,ז,,,,
"פינסקר, דנה",במות פתוחות,ערב הסטנדאפ חסר הביטחון העצמי,נ,,,,
"פינקי, איתי",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"פיפר, עופר",פתיחת קופות,,ז,,,,
"פיפרברג, טל",במות פתוחות,,ז,,,,
"פיש, יאיר",במות פתוחות,האשכנזים,ז,,,,
"פישמן, תומר",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר",ז,,,,
"פישר, גיתית",כוכבות,,נ,,,,
"פלאצ'י, דיקלה קרן",במות פתוחות,,נ,,,,
"פלד הרפז, דורית",פתיחת קופות,,נ,,,,
"פלדהאמר, ג'רמי",אנגלית,דנסינג קאמל,ז,,,,
"פלדמן, רון",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"פנדריך, נועם",במות פתוחות,,ז,,,,
"פנסו, יוסי",פתיחת קופות,קומדי בר,ז,,,,
"פפו, הראל",פתיחת קופות,,ז,,,,
"פרג'ון, אלעד",במות פתוחות,,ז,,,,
"פרום מרגלית, אורלי",במות פתוחות,,נ,,,,
"פרחי, סתיו",במות פתוחות,,ז,,,,
"פרי סגל, דנה",במות פתוחות,,נ,,,,
"פרידמן, אלעזר",במות פתוחות,,ז,,,,
"פרידמן, טל",כוכבות,,ז,,,,
"פרידמן, שגיב",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"פרייליך, תמיר אלכס",במות פתוחות,,ז,,,,
"פרישמן, נדב",קביעות במועדונים,קאמל קומדי קלאב,ז,,,,
"פרנק ארליך, ירין",במות פתוחות,,ז,,,,
"פרסטר, משה",פתיחת קופות,,ז,,,,
"פרץ, מתן",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי",ז,,,,
"צאיג, כרמל",הופעות/כתיבה בטלוויזיה,"סטנדאפ ואלרגיות, ערב הסטנדאפ המיותר",נ,,,,
"צברי, רועי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"צור, מתן",במות פתוחות,,ז,,,,
"צח, דור",במות פתוחות,,ז,,,,
"ציון, נאור",כוכבות,,ז,,,,
"צנחני, עדן",קביעות במועדונים,קאמל קומדי קלאב,ז,,,,
"צרפתי, דן",במות פתוחות,ערב הסטנדאפ החמים,ז,,,,
"קאושנסקי, אביה",במות פתוחות,,נ,,,,
"קובה, יוסי",במות פתוחות,,ז,,,,
"קובל, קובי",במות פתוחות,,ז,,,,
"קולודובסקי, אליק",במות פתוחות,,ז,,,,
"קופטש, גיל",כוכבות,קאמל קומדי קלאב,ז,,,,
"קור, דוד",במות פתוחות,,ז,,,,
"קוריאט, קובי",פתיחת קופות,,ז,,,,
"קוריאט, שלומי",כוכבות,,ז,,,,
"קורנר, כפיר",במות פתוחות,,ז,,,,
"קורקוס, דידי",במות פתוחות,ערב הסטנדאפ החמים,ז,,,,
"קטורזה, ישראל",כוכבות,,ז,,,,
"קילימניק, דייוויד",אנגלית,אוף דה וול,ז,,,,
"קיפריס, בן",במות פתוחות,,ז,,,,
"קיציס, איל",כוכבות,,ז,,,,
"קירזון, מיכל",פתיחת קופות,בנות עם ביצים,נ,,,,
"קירש, שרה",אנגלית,דנסינג קאמל,נ,,,,
"קל, מורן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"קליימן, ארז",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"קליין, אביגיל",פתיחת קופות,,נ,,,,
"קליין, גלעד",במות פתוחות,,ז,,,,
"קלינג, עמית",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"קלמן, רני",במות פתוחות,,ז,,,,
"קלצל, יוני",במות פתוחות,,ז,,,,
"קם, מיקי",כוכבות,,נ,,,,
"קמושביץ, דני",פתיחת קופות,,ז,,,,
"קמיאנסקי, אורן",קביעות במועדונים,סטנדאפ פקטורי,ז,,,,
"קנבסקי, אלה",במות פתוחות,,נ,,,,
"קנובלר, שיר",במות פתוחות,,נ,,,,
"קפח, יונה",פתיחת קופות,נשי ותהני,ז,,,,
"קפלן, בוריס",במות פתוחות,,ז,,,,
"קפלן, שחר",במות פתוחות,ערב הסטנדאפ החזק מאוד,ז,,,,
"קפלנסקי, אסף",הופעות/כתיבה בטלוויזיה,כל מה שמצחיק בעולם,ז,,,,
"קציר, עידו",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"קרול, מייק",אנגלית,דנסינג קאמל,ז,,,,
"קריו, אופיר",במות פתוחות,,ז,,,,
"קריו, דורין",פתיחת קופות,,נ,,,,
"קרן, דרור",סטנדאפ לאחר כוכבות,,ז,,,,
"קרן, חיה",במות פתוחות,,נ,,,,
"קשאני, דור",במות פתוחות,,ז,,,,
"ראובן, שיר",הופעות/כתיבה בטלוויזיה,סטנדאפ ואלרגיות,נ,,,,
"ראודור, יונתן",במות פתוחות,"ערב הסטנדאפ של האלה, ערב הסטנדאפ האינטימי",ז,,,,
"ראיצ'יק, שמעון",קביעות במועדונים,"משחקי הקססה, סטנדאפ פקטורי",ז,,,,
"ראשון, טל",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי",ז,,,,
"רביד, דותן",קביעות במועדונים,קומדי בר,ז,,,,
"רבינוביץ', יואב",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"רביץ, דורון",פתיחת קופות,,ז,,,,
"רביץ, לני",פתיחת קופות,,ז,,,,
"רהב, דורון",פתיחת קופות,"נשי ותהני, קאמל קומדי קלאב",נ,,,,
"רובין, ימית",במות פתוחות,,נ,,,,
"רודריגז, נעמה",במות פתוחות,ערב הסטנדאפ האינטימי,נ,,,,
"רוזין, נעמי",במות פתוחות,ערב הסטנדאפ המיותר,נ,,,,
"רוזנברג, איל",פתיחת קופות,קומדי בר,ז,,,,
"רוזנברג, גיל",במות פתוחות,ירושלים צוחקת,ז,,,,
"רוזנברג, עמית",קביעות במועדונים,קאמל קומדי קלאב,ז,,,,
"רוזנס, יעל",במות פתוחות,,נ,,,,
"רום, ליאור",במות פתוחות,המיקרופון,ז,,,,
"רומי, ליאור",במות פתוחות,,ז,,,,
"רומם, שחר",במות פתוחות,סטנדאפ סמית,ז,,,,
"רומנו, לירון",פתיחת קופות,קומדי בר,ז,,,,
"רון, קרן",פתיחת קופות,,נ,,,,
"רונן, עידן",במות פתוחות,ערב הסטנדאפ של צ'וטה,ז,,,,
רועי וצפריר,פתיחת קופות,,ז,,צמד,,
"רוקח, צח",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"רזניק, שי",במות פתוחות,,ז,,,,
"רחמים, בר",במות פתוחות,,נ,,,,
"רייס, עמית",במות פתוחות,האשכנזים,ז,,,,
"רכס, דני",פתיחת קופות,,ז,,,,
"רמז, אורית",פתיחת קופות,,נ,,,,
"רצ'קובסקי, דניאל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"רק, נעמה",במות פתוחות,,נ,,,,
"שאינסקי, אודי חופש",במות פתוחות,ערב הסטנדאפ החמים,ז,,,,
"שביט, ציפי",כוכבות,,נ,,,,
"שבתאי, דנה",קביעות במועדונים,"ערב הסטנדאפ של האלה, קאמל קומדי קלאב",נ,,,,
"שגב מנשרי, שני",פתיחת קופות,מחשבות מסלול מחדש,נ,,,,
"שגב, אריק",הופעות/כתיבה בטלוויזיה,,ז,,,,
"שגב, יובל",פתיחת קופות,ישבנים קוראים שירה,ז,,,,
"שגרן, רולנדה",פתיחת קופות,,נ,,,,
"שוורץ, יורם",במות פתוחות,,ז,,,,
"שוורץ, ליטל",כוכבות,,נ,,,,
"שוורצמן, ניר",פתיחת קופות,,ז,,,,
"שוחמי, שי",קביעות במועדונים,"ערב גסויות, סטנדאפ פקטורי",ז,,,,
"שונברגר, עידן",במות פתוחות,,ז,,,,
"שוסטר-אליאסי, נועם",הופעות/כתיבה בטלוויזיה,,נ,,,,
"שור, אלמוג",פתיחת קופות,קאמל קומדי קלאב,נ,,,,
"שחר, איתן",במות פתוחות,,ז,,,,
"שטיינגרט, לירון",פתיחת קופות,,ז,,,,
"שטראוס, ארז",במות פתוחות,,ז,,,,
"שטרית, אלדד",קביעות במועדונים,קומדי בר,ז,,,,
"שטרן, רמי",הופעות/כתיבה בטלוויזיה,,ז,,,,
"שייד, ניית'ן",אנגלית,דנסינג קאמל,ז,,,,
"שילה, רועי",קביעות במועדונים,"קאמל קומדי קלאב, קומדי בר",ז,,,,
"שינדר, לאון",במות פתוחות,,ז,,,,
"שיק בלום, ירמי",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר",ז,,,,
"שכטר, עפר",כוכבות,קאמל קומדי קלאב,ז,,,,
"שליין, ליאור",סטנדאפ לאחר כוכבות,,ז,,,,
שלישיית מה קשור,כוכבות,,ז,,שלישייה,,
"שלם, ארז",כוכבות,,ז,,,,
"שם טוב, ליעוז",פתיחת קופות,קומדי בר,ז,,,,
"שם טוב, מיכל",קביעות במועדונים,קומדי בר,נ,,,,
"שמואל, לישי",הופעות/כתיבה בטלוויזיה,צוות מנחוס,ז,,,,
"שמיר, שרה",פתיחת קופות,,נ,,,,
"שני, בן",במות פתוחות,,ז,,,,
"שפירו, מיטל",הופעות/כתיבה בטלוויזיה,"סטנדאפ ואלרגיות, ערב הסטנדאפ המיותר",נ,,,,
"שפר, טל",הופעות/כתיבה בטלוויזיה,צ' סופית,ז,,,,
"שרון, אדם",פתיחת קופות,קומדי בר,ז,,,,
"שרון, מתן",במות פתוחות,ערב הסטנדאפ המיותר,ז,,,,
"שרון, תומר",פתיחת קופות,,ז,,,,
"שריקי, קובי",במות פתוחות,"סטנדאפ הפילוסופים, ערב הסטנדאפ האינטימי",ז,,,,
"ששון, עדי",במות פתוחות,ערב הסטנדאפ המיותר,נ,,,,
"ששון, רוני",פתיחת קופות,קומדי בר,ז,,,,
"תגר, נלי",סטנדאפ לאחר כוכבות,,נ,,,,
"תואתי, ז'ואקים",במות פתוחות,,ז,,,,
,,,,,,,
